lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Northern Sydney LHD,Lane Cove,2017,0.383,0.366,0.4,3020
Northern Sydney LHD,Manly,2017,0.429,0.413,0.445,3793
Northern Sydney LHD,Mosman,2017,0.37,0.353,0.387,2960
Northern Sydney LHD,North Sydney,2017,0.391,0.379,0.404,5756
Northern Sydney LHD,Northern Sydney LHD,2017,0.39,0.386,0.393,83366
Northern Sydney LHD,Pittwater,2017,0.407,0.396,0.419,6925
Northern Sydney LHD,Ryde,2017,0.371,0.362,0.381,9974
Northern Sydney LHD,Warringah,2017,0.396,0.388,0.404,13968
Northern Sydney LHD,Willoughby,2017,0.38,0.368,0.391,6685
South Eastern Sydney LHD,Botany Bay,2017,0.322,0.306,0.337,3654
South Eastern Sydney LHD,Hurstville,2017,0.372,0.362,0.383,8056
South Eastern Sydney LHD,Kogarah,2017,0.359,0.346,0.371,5573
South Eastern Sydney LHD,Randwick,2017,0.337,0.328,0.346,11292
South Eastern Sydney LHD,Rockdale,2017,0.327,0.317,0.336,9155
South Eastern Sydney LHD,South Eastern Sydney LHD,2017,0.345,0.342,0.349,74222
South Eastern Sydney LHD,Sutherland Shire,2017,0.373,0.366,0.379,21014
South Eastern Sydney LHD,Sydney,2017,0.328,0.315,0.341,5117
South Eastern Sydney LHD,Unincorporated NSW,2017,0.324,0.226,0.422,88
South Eastern Sydney LHD,Waverley,2017,0.306,0.293,0.319,4974
South Eastern Sydney LHD,Woollahra,2017,0.301,0.289,0.313,5300
South Western Sydney LHD,Bankstown,2017,0.333,0.326,0.34,17253
South Western Sydney LHD,Camden,2017,0.354,0.342,0.367,5247
South Western Sydney LHD,Campbelltown,2017,0.317,0.31,0.325,14075
South Western Sydney LHD,Fairfield,2017,0.356,0.35,0.363,20185
South Western Sydney LHD,Liverpool,2017,0.306,0.299,0.313,16168
South Western Sydney LHD,South Western Sydney LHD,2017,0.338,0.335,0.341,82253
South Western Sydney LHD,Wingecarribee,2017,0.398,0.385,0.412,4994
South Western Sydney LHD,Wollondilly,2017,0.374,0.359,0.388,4331
Southern NSW LHD,Bega Valley,2017,0.474,0.458,0.489,4070
Southern NSW LHD,Bombala,2017,0.452,0.39,0.514,248
Southern NSW LHD,Cooma-Monaro,2017,0.406,0.376,0.436,1037
Southern NSW LHD,Eurobodalla,2017,0.435,0.421,0.45,4627
Southern NSW LHD,Goulburn Mulwaree,2017,0.388,0.37,0.405,2935
Southern NSW LHD,Palerang,2017,0.434,0.41,0.458,1613
Southern NSW LHD,Queanbeyan,2017,0.364,0.348,0.38,3417
Southern NSW LHD,Snowy River,2017,0.362,0.324,0.4,611
Southern NSW LHD,Southern NSW LHD,2017,0.417,0.41,0.424,20730
Southern NSW LHD,Upper Lachlan Shire,2017,0.401,0.367,0.436,780
Southern NSW LHD,Yass Valley,2017,0.397,0.372,0.423,1392
Sydney LHD,Ashfield,2017,0.35,0.335,0.365,3767
Sydney LHD,Burwood,2017,0.344,0.328,0.361,3102
Sydney LHD,Canada Bay,2017,0.358,0.347,0.369,7211
Sydney LHD,Canterbury,2017,0.314,0.306,0.322,13152
Sydney LHD,Leichhardt,2017,0.363,0.35,0.376,5333
Sydney LHD,Marrickville,2017,0.347,0.336,0.358,6902
Sydney LHD,Strathfield,2017,0.302,0.286,0.319,2988
Sydney LHD,Sydney,2017,0.328,0.317,0.339,6866
Sydney LHD,Sydney LHD,2017,0.336,0.332,0.34,49321
Western NSW LHD,Bathurst Regional,2017,0.387,0.371,0.404,3464
Western NSW LHD,Blayney,2017,0.355,0.319,0.391,678
Western NSW LHD,Bogan,2017,0.391,0.332,0.451,258
Western NSW LHD,Bourke,2017,0.256,0.196,0.316,203
Western NSW LHD,Brewarrina,2017,0.151,0.088,0.213,126
Western NSW LHD,Cabonne,2017,0.393,0.364,0.423,1075
Western NSW LHD,Cobar,2017,0.341,0.294,0.389,381
Western NSW LHD,Coonamble,2017,0.286,0.242,0.33,405
Western NSW LHD,Cowra,2017,0.37,0.344,0.396,1349
